ตารางแสดงปริมาณ น้ำมันเบนซิน ที่ผู้ค้าน้ำมันจำหน่ายให้ลูกค้าและผู้ใช้ในจังหวัดต่าง ๆ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
สาขา อุตสาหกรรม,,,,,,,,,,
ตั้งแต่เดือน กรกฎาคม ถึง เดือน กรกฎาคม 2561,,,,,,,,,,
,,,,,,,,,,ปริมาณ /พันลิตร
ลำดับที่,จังหวัด,ปตท.,เชลล์,เชฟรอน(ไทย),ซัสโก้,พีทีจี,ไทยออยล์,ซัสโก้ ดีลเลอร์ส,ปตท. น้ำมันและการค้าปลีก,รวมทั้งสิ้น
,กรุงเทพฯ และปริมณฑล,,62,,,110,,,33,205
1,กรุงเทพมหานคร,,12,,,110,,,20,142
2,สมุทรปราการ,,50,,,,,,3,53
3,นนทบุรี,,,,,,,,10,10
4,ปทุมธานี,,,,,,,,,
,ภาคกลาง,,,,,,,11,91,102
5,พระนครศรีอยุธยา,,,,,,,11,91,102
6,อ่างทอง,,,,,,,,,
7,ลพบุรี,,,,,,,,,
8,สิงห์บุรี,,,,,,,,,
9,ชัยนาท,,,,,,,,,
10,สระบุรี,,,,,,,,,
,ภาคตะวันออก,,189,,,,,,27,216
11,ชลบุรี,,87,,,,,,,87
12,ระยอง,,102,,,,,,,102
13,จันทบุรี,,,,,,,,,
14,ตราด,,,,,,,,,
15,ฉะเชิงเทรา,,,,,,,,,
16,ปราจีนบุรี,,,,,,,,27,27
17,นครนายก,,,,,,,,,
18,สระแก้ว,,,,,,,,,
,ภาคตะวันออกเฉียงเหนือ,,,,,,,,,
,ภาคตะวันออกเฉียงเหนือตอนบน,,,,,,,,,
19,ขอนแก่น,,,,,,,,,
20,อุดรธานี,,,,,,,,,
21,เลย,,,,,,,,,
22,หนองคาย,,,,,,,,,
23,มหาสารคาม,,,,,,,,,
24,ร้อยเอ็ด,,,,,,,,,
25,กาฬสินธุ์,,,,,,,,,
26,สกลนคร,,,,,,,,,
27,นครพนม,,,,,,,,,
28,มุกดาหาร,,,,,,,,,
29,บึงกาฬ,,,,,,,,,
,ภาคตะวันออกเฉียงเหนือตอนล่าง,,,,,,,,,
30,นครราชสีมา,,,,,,,,,
31,บุรีรัมย์,,,,,,,,,
32,สุรินทร์,,,,,,,,,
33,ศรีสะเกษ,,,,,,,,,
34,อุบลราชธานี,,,,,,,,,
35,ยโสธร,,,,,,,,,
36,ชัยภูมิ,,,,,,,,,
37,อำนาจเจริญ,,,,,,,,,
38,หนองบัวลำภู,,,,,,,,,
,ภาคเหนือ,,,,,,,,,
,ภาคเหนือบน,,,,,,,,,
39,เชียงใหม่,,,,,,,,,
40,ลำพูน,,,,,,,,,
41,ลำปาง,,,,,,,,,
42,อุตรดิตถ์,,,,,,,,,
43,แพร่,,,,,,,,,
44,น่าน,,,,,,,,,
45,พะเยา,,,,,,,,,
46,เชียงราย,,,,,,,,,
47,แม่ฮ่องสอน,,,,,,,,,
,ภาคเหนือตอนล่าง,,,,,,,,,
48,นครสวรรค์,,,,,,,,,
49,อุทัยธานี,,,,,,,,,
50,กำแพงเพชร,,,,,,,,,
51,ตาก,,,,,,,,,
52,สุโขทัย,,,,,,,,,
53,พิษณุโลก,,,,,,,,,
54,พิจิตร,,,,,,,,,
55,เพชรบูรณ์,,,,,,,,,
,ภาคตะวันตก,,,,,,,,,
56,ราชบุรี,,,,,,,,,
57,กาญจนบุรี,,,,,,,,,
58,สุพรรณบุรี,,,,,,,,,
59,นครปฐม,,,,,,,,,
60,สมุทรสาคร,,,,,,,,,
61,สมุทรสงคราม,,,,,,,,,
62,เพชรบุรี,,,,,,,,,
63,ประจวบคีรีขันธ์,,,,,,,,,
,ภาคใต้,,,,,,,,,
,ภาคใต้ตอนบน,,,,,,,,,
64,นครศรีธรรมราช,,,,,,,,,
65,กระบี่,,,,,,,,,
66,พังงา,,,,,,,,,
67,ภูเก็ต,,,,,,,,,
68,สุราษฎร์ธานี,,,,,,,,,
69,ระนอง,,,,,,,,,
70,ชุมพร,,,,,,,,,
,ภาคใต้ตอนล่าง,,,,,,,,,
71,สงขลา,,,,,,,,,
72,สตูล,,,,,,,,,
73,ตรัง,,,,,,,,,
74,พัทลุง,,,,,,,,,
75,ปัตตานี,,,,,,,,,
76,ยะลา,,,,,,,,,
77,นราธิวาส,,,,,,,,,
,ปริมาณรวมทั้งสิ้น,,251,,,110,,11,151,523
